Replicate	Class	Group	Absorbance
1	G1	Leaves CT 24h	339.8087704
2	G1	Leaves CT 24h	268.9508186
3	G1	Leaves CT 24h	357.8708288
4	G1	Leaves CT 24h	265.49161
5	G1	Leaves CT 24h	197.1542675
1	G2	Leaves 24h	253.6149744
2	G2	Leaves 24h	354.0728384
3	G2	Leaves 24h	469.9319613
4	G2	Leaves 24h	432.5631482
5	G2	Leaves 24h	391.6599547
1	G3	Roots CT 24h	210.0818244
2	G3	Roots CT 24h	152.9356027
3	G3	Roots CT 24h	109.3503352
4	G3	Roots CT 24h	322.7456778
5	G3	Roots CT 24h	323.3398533
1	G4	Roots 24h	391.9794747
2	G4	Roots 24h	306.4826882
3	G4	Roots 24h	508.4783407
4	G4	Roots 24h	382.0786846
5	G5	Leaves CT 48h	340.8850978
6	G5	Leaves CT 48h	361.2285264
7	G5	Leaves CT 48h	377.682442
8	G5	Leaves CT 48h	303.4848908
9	G5	Leaves CT 48h	407.5498979
10	G6	Leaves 48h	507.8669808
11	G6	Leaves 48h	437.5287316
12	G6	Leaves 48h	474.2690503
13	G6	Leaves 48h	350.8939896
14	G6	Leaves 48h	560.3715551
15	G7	Roots CT 48h	300.7319599
16	G7	Roots CT 48h	431.8304922
17	G7	Roots CT 48h	375.2972409
18	G7	Roots CT 48h	325.1724243
19	G7	Roots CT 48h	391.1634573
20	G8	Roots 48h	398.1503358
21	G8	Roots 48h	256.8599208
22	G8	Roots 48h	302.3359007
23	G8	Roots 48h	513.9819619
24	G8	Roots 48h	439.5532553
