Replicate	Class	time	organ	c_uv	Group	abs	Area	peak_number
1	G1	24h	Leaves	Control	Leaves CT 24h	339.8087704	24510206.5	74.5
2	G1	24h	Leaves	Control	Leaves CT 24h	268.9508186	17127805	76
3	G1	24h	Leaves	Control	Leaves CT 24h	357.8708288	28360440.5	70
4	G1	24h	Leaves	Control	Leaves CT 24h	265.49161	18866724	75
5	G1	24h	Leaves	Control	Leaves CT 24h	197.1542675	15354569	72.5
1	G2	24h	Leaves	UV	Leaves 24h	253.6149744	16053480.5	55
2	G2	24h	Leaves	UV	Leaves 24h	354.0728384	27487958	55
3	G2	24h	Leaves	UV	Leaves 24h	469.9319613	40273307.5	50.5
4	G2	24h	Leaves	UV	Leaves 24h	432.5631482	34960738.5	55
5	G2	24h	Leaves	UV	Leaves 24h	391.6599547	27267168	55
1	G3	24h	Roots	Control	Roots CT 24h	210.0818244	13596080.5	81
2	G3	24h	Roots	Control	Roots CT 24h	152.9356027	18822231	81
3	G3	24h	Roots	Control	Roots CT 24h	109.3503352	6249092.5	81
4	G3	24h	Roots	Control	Roots CT 24h	322.7456778	21606579.5	78.5
5	G3	24h	Roots	Control	Roots CT 24h	323.3398533	21784300	81
1	G4	24h	Roots	UV	Roots 24h	391.9794747	27815723	66
2	G4	24h	Roots	UV	Roots 24h	306.4826882	21928337.5	66
3	G4	24h	Roots	UV	Roots 24h	508.4783407	42670625	66
4	G4	24h	Roots	UV	Roots 24h	382.0786846	26383977.5	66
5	G5	 48h	Leaves	Control	Leaves CT 48h	340.8850978	24177070.5	66
6	G5	 48h	Leaves	Control	Leaves CT 48h	361.2285264	28661634.5	76.5
7	G5	 48h	Leaves	Control	Leaves CT 48h	377.682442	25942744	70.5
8	G5	 48h	Leaves	Control	Leaves CT 48h	303.4848908	22987200	81.5
9	G5	 48h	Leaves	Control	Leaves CT 48h	407.5498979	31741984	73
10	G6	 48h	Leaves	UV	Leaves 48h	507.8669808	43989309	79
11	G6	 48h	Leaves	UV	Leaves 48h	437.5287316	27413160	79
12	G6	 48h	Leaves	UV	Leaves 48h	474.2690503	37659452.5	79
13	G6	 48h	Leaves	UV	Leaves 48h	350.8939896	22120725	77.5
14	G6	 48h	Leaves	UV	Leaves 48h	560.3715551	48236380	68
15	G7	 48h	Roots	Control	Roots CT 48h	300.7319599	20520020	81
16	G7	 48h	Roots	Control	Roots CT 48h	431.8304922	33045236	81
17	G7	 48h	Roots	Control	Roots CT 48h	375.2972409	27747197.5	81
18	G7	 48h	Roots	Control	Roots CT 48h	325.1724243	22873004.5	78.5
19	G7	 48h	Roots	Control	Roots CT 48h	391.1634573	26174827	81
20	G8	 48h	Roots	UV	Roots 48h	398.1503358	29808057	66
21	G8	 48h	Roots	UV	Roots 48h	256.8599208	16621305	66
22	G8	 48h	Roots	UV	Roots 48h	302.3359007	17284332	66
23	G8	 48h	Roots	UV	Roots 48h	513.9819619	42098103.5	66
24	G8	 48h	Roots	UV	Roots 48h	439.5532553	29634598	66
