city	organ	Sample	Detector	Cq
Acari	Seeds	1	NADH	25.42945671
Acari	Seeds	1	NADH	25.09786034
Acari	Seeds	1	NADH	25.2775116
Acari	Seeds	1	NADH	25.0293541
Acari	Seeds	2	NADH	24.56661415
Acari	Seeds	2	NADH	24.56900024
Acari	Seeds	2	NADH	24.53580475
Acari	Seeds	2	NADH	24.4508152
Acari	Seeds	3	NADH	24.80609131
Acari	Seeds	3	NADH	24.53276062
Acari	Seeds	3	NADH	24.5504837
Acari	Seeds	3	NADH	24.34996796
Jardim_do_Seridó	Seeds	4	NADH	24.3966713
Jardim_do_Seridó	Seeds	4	NADH	24.52423668
Jardim_do_Seridó	Seeds	4	NADH	24.40547752
Jardim_do_Seridó	Seeds	4	NADH	24.34037971
Jardim_do_Seridó	Seeds	5	NADH	24.97083282
Jardim_do_Seridó	Seeds	5	NADH	24.76255035
Jardim_do_Seridó	Seeds	5	NADH	24.78090477
Jardim_do_Seridó	Seeds	5	NADH	24.56220627
Jardim_do_Seridó	Seeds	6	NADH	24.96651268
Jardim_do_Seridó	Seeds	6	NADH	25.32774353
Jardim_do_Seridó	Seeds	6	NADH	24.79302788
Jardim_do_Seridó	Seeds	6	NADH	24.96547699
Acari	Leaves	7	NADH	21.74308586
Acari	Leaves	7	NADH	21.62355423
Acari	Leaves	7	NADH	21.63655281
Acari	Leaves	7	NADH	21.54442596
Acari	Leaves	8	NADH	27.75847435
Acari	Leaves	8	NADH	27.63553429
Acari	Leaves	8	NADH	27.41482353
Acari	Leaves	8	NADH	27.56308174
Acari	Leaves	9	NADH	23.76407433
Acari	Leaves	9	NADH	23.72712898
Acari	Leaves	9	NADH	23.64328575
Acari	Leaves	9	NADH	23.76587486
Jardim_do_Seridó	Leaves	10	NADH	28.42344093
Jardim_do_Seridó	Leaves	10	NADH	28.14291573
Jardim_do_Seridó	Leaves	10	NADH	28.39459038
Jardim_do_Seridó	Leaves	10	NADH	28.00780869
Jardim_do_Seridó	Leaves	11	NADH	22.06550407
Jardim_do_Seridó	Leaves	11	NADH	21.95836639
Jardim_do_Seridó	Leaves	11	NADH	21.86658859
Jardim_do_Seridó	Leaves	11	NADH	21.82514954
Jardim_do_Seridó	Leaves	12	NADH	24.68941116
Jardim_do_Seridó	Leaves	12	NADH	24.52635765
Jardim_do_Seridó	Leaves	12	NADH	24.53549385
Acari	Seeds	1	26S	25.33653641
Acari	Seeds	1	26S	25.31442642
Acari	Seeds	1	26S	25.20178795
Acari	Seeds	2	26S	25.58309364
Acari	Seeds	2	26S	25.63848877
Acari	Seeds	2	26S	25.51977348
Acari	Seeds	2	26S	25.60278511
Acari	Seeds	3	26S	25.19138908
Acari	Seeds	3	26S	25.01494598
Acari	Seeds	3	26S	24.78704453
Acari	Seeds	3	26S	24.92656136
Jardim_do_Seridó	Seeds	4	26S	24.43739319
Jardim_do_Seridó	Seeds	4	26S	24.7822094
Jardim_do_Seridó	Seeds	4	26S	24.69662666
Jardim_do_Seridó	Seeds	4	26S	24.35495186
Jardim_do_Seridó	Seeds	5	26S	25.8548336
Jardim_do_Seridó	Seeds	5	26S	25.71757126
Jardim_do_Seridó	Seeds	5	26S	25.66323662
Jardim_do_Seridó	Seeds	5	26S	25.48702812
Jardim_do_Seridó	Seeds	6	26S	25.29474831
Jardim_do_Seridó	Seeds	6	26S	25.2030735
Jardim_do_Seridó	Seeds	6	26S	25.00291252
Jardim_do_Seridó	Seeds	6	26S	24.99288559
Acari	Leaves	7	26S	23.56110764
Acari	Leaves	7	26S	23.51480675
Acari	Leaves	7	26S	23.53608513
Acari	Leaves	7	26S	23.41387558
Acari	Leaves	8	26S	25.62574005
Acari	Leaves	8	26S	25.75081253
Acari	Leaves	8	26S	25.65052414
Acari	Leaves	8	26S	25.37147903
Acari	Leaves	9	26S	26.67835426
Acari	Leaves	9	26S	26.46095085
Acari	Leaves	9	26S	26.6121521
Acari	Leaves	9	26S	26.5443058
Jardim_do_Seridó	Leaves	10	26S	25.2712574
Jardim_do_Seridó	Leaves	10	26S	25.22838402
Jardim_do_Seridó	Leaves	10	26S	24.98142052
Jardim_do_Seridó	Leaves	10	26S	24.99639702
Jardim_do_Seridó	Leaves	11	26S	24.66111755
Jardim_do_Seridó	Leaves	11	26S	24.41002846
Jardim_do_Seridó	Leaves	11	26S	24.32141876
Jardim_do_Seridó	Leaves	12	26S	24.94780922
Jardim_do_Seridó	Leaves	12	26S	24.78786659
Jardim_do_Seridó	Leaves	12	26S	24.92528915
Acari	Seeds	1	1,2DIHYD	20.88780975
Acari	Seeds	1	1,2DIHYD	20.7674675
Acari	Seeds	1	1,2DIHYD	20.77168083
Acari	Seeds	2	1,2DIHYD	21.27904701
Acari	Seeds	2	1,2DIHYD	21.28030014
Acari	Seeds	2	1,2DIHYD	21.19250488
Acari	Seeds	2	1,2DIHYD	21.28261566
Acari	Seeds	3	1,2DIHYD	20.16217613
Acari	Seeds	3	1,2DIHYD	20.09824181
Acari	Seeds	3	1,2DIHYD	20.0728817
Acari	Seeds	3	1,2DIHYD	20.05472183
Jardim_do_Seridó	Seeds	4	1,2DIHYD	20.58642769
Jardim_do_Seridó	Seeds	4	1,2DIHYD	20.68126488
Jardim_do_Seridó	Seeds	4	1,2DIHYD	20.74454308
Jardim_do_Seridó	Seeds	4	1,2DIHYD	20.57085991
Jardim_do_Seridó	Seeds	5	1,2DIHYD	21.15251923
Jardim_do_Seridó	Seeds	5	1,2DIHYD	21.14581108
Jardim_do_Seridó	Seeds	5	1,2DIHYD	21.10875702
Jardim_do_Seridó	Seeds	5	1,2DIHYD	21.13397026
Jardim_do_Seridó	Seeds	6	1,2DIHYD	21.17362213
Jardim_do_Seridó	Seeds	6	1,2DIHYD	21.11054802
Jardim_do_Seridó	Seeds	6	1,2DIHYD	20.98870468
Jardim_do_Seridó	Seeds	6	1,2DIHYD	21.076931
Acari	Leaves	7	1,2DIHYD	21.01664925
Acari	Leaves	7	1,2DIHYD	20.96910477
Acari	Leaves	7	1,2DIHYD	21.06249046
Acari	Leaves	7	1,2DIHYD	21.01171684
Acari	Leaves	8	1,2DIHYD	22.6707058
Acari	Leaves	8	1,2DIHYD	22.78372192
Acari	Leaves	8	1,2DIHYD	22.6206398
Acari	Leaves	8	1,2DIHYD	22.63989067
Acari	Leaves	9	1,2DIHYD	23.21131134
Acari	Leaves	9	1,2DIHYD	23.0110302
Acari	Leaves	9	1,2DIHYD	23.09680939
Acari	Leaves	9	1,2DIHYD	23.00789833
Jardim_do_Seridó	Leaves	10	1,2DIHYD	22.65826988
Jardim_do_Seridó	Leaves	10	1,2DIHYD	22.72717476
Jardim_do_Seridó	Leaves	10	1,2DIHYD	22.838274
Jardim_do_Seridó	Leaves	10	1,2DIHYD	22.79100609
Jardim_do_Seridó	Leaves	11	1,2DIHYD	21.99918938
Jardim_do_Seridó	Leaves	11	1,2DIHYD	21.88170242
Jardim_do_Seridó	Leaves	11	1,2DIHYD	21.83820915
Jardim_do_Seridó	Leaves	12	1,2DIHYD	22.43612862
Jardim_do_Seridó	Leaves	12	1,2DIHYD	22.42939377
Jardim_do_Seridó	Leaves	12	1,2DIHYD	22.50355721
Acari	Seeds	1	ACTIN	27.36132431
Acari	Seeds	1	ACTIN	27.61082458
Acari	Seeds	1	ACTIN	27.70556259
Acari	Seeds	1	ACTIN	27.45298195
Acari	Seeds	2	ACTIN	28.73333549
Acari	Seeds	2	ACTIN	28.91247368
Acari	Seeds	2	ACTIN	28.68487358
Acari	Seeds	3	ACTIN	27.97323608
Acari	Seeds	3	ACTIN	28.12590027
Acari	Seeds	3	ACTIN	27.88876152
Acari	Seeds	3	ACTIN	27.85518074
Jardim_do_Seridó	Seeds	4	ACTIN	27.90330887
Jardim_do_Seridó	Seeds	4	ACTIN	27.65313721
Jardim_do_Seridó	Seeds	4	ACTIN	27.68335533
Jardim_do_Seridó	Seeds	5	ACTIN	27.95367813
Jardim_do_Seridó	Seeds	5	ACTIN	27.91327095
Jardim_do_Seridó	Seeds	5	ACTIN	28.18663025
Jardim_do_Seridó	Seeds	5	ACTIN	28.07786369
Jardim_do_Seridó	Seeds	6	ACTIN	27.82323837
Jardim_do_Seridó	Seeds	6	ACTIN	27.62903023
Jardim_do_Seridó	Seeds	6	ACTIN	27.46953201
Jardim_do_Seridó	Seeds	6	ACTIN	27.65423965
Acari	Leaves	7	ACTIN	25.69830704
Acari	Leaves	7	ACTIN	25.44282722
Acari	Leaves	7	ACTIN	25.75899696
Acari	Leaves	7	ACTIN	25.67718124
Acari	Leaves	8	ACTIN	27.75801086
Acari	Leaves	8	ACTIN	27.88369751
Acari	Leaves	8	ACTIN	28.00444221
Acari	Leaves	9	ACTIN	28.3891468
Acari	Leaves	9	ACTIN	28.4485836
Acari	Leaves	9	ACTIN	28.38821983
Acari	Leaves	9	ACTIN	28.25147057
Jardim_do_Seridó	Leaves	10	ACTIN	27.70418549
Jardim_do_Seridó	Leaves	10	ACTIN	27.57880783
Jardim_do_Seridó	Leaves	10	ACTIN	27.43763161
Jardim_do_Seridó	Leaves	10	ACTIN	27.58955383
Jardim_do_Seridó	Leaves	11	ACTIN	26.28187561
Jardim_do_Seridó	Leaves	11	ACTIN	26.03751373
Jardim_do_Seridó	Leaves	11	ACTIN	25.82427788
Jardim_do_Seridó	Leaves	12	ACTIN	26.10925865
Jardim_do_Seridó	Leaves	12	ACTIN	26.2189312
Jardim_do_Seridó	Leaves	12	ACTIN	26.26712036
Acari	Seeds	1	CSF	27.70854378
Acari	Seeds	1	CSF	27.33776093
Acari	Seeds	1	CSF	27.2382164
Acari	Seeds	1	CSF	27.28277206
Acari	Seeds	2	CSF	27.65015984
Acari	Seeds	2	CSF	27.46883011
Acari	Seeds	2	CSF	27.31332588
Acari	Seeds	3	CSF	26.46269417
Acari	Seeds	3	CSF	26.40398026
Acari	Seeds	3	CSF	26.47631264
Acari	Seeds	3	CSF	26.51699448
Jardim_do_Seridó	Seeds	4	CSF	26.8638134
Jardim_do_Seridó	Seeds	4	CSF	26.88269234
Jardim_do_Seridó	Seeds	4	CSF	26.84406853
Jardim_do_Seridó	Seeds	5	CSF	27.14524078
Jardim_do_Seridó	Seeds	5	CSF	27.2437973
Jardim_do_Seridó	Seeds	5	CSF	27.415411
Jardim_do_Seridó	Seeds	5	CSF	26.91495132
Jardim_do_Seridó	Seeds	6	CSF	27.1524334
Jardim_do_Seridó	Seeds	6	CSF	27.28486824
Jardim_do_Seridó	Seeds	6	CSF	27.19144249
Jardim_do_Seridó	Seeds	6	CSF	27.13787842
Acari	Leaves	7	CSF	26.13525391
Acari	Leaves	7	CSF	25.91778564
Acari	Leaves	7	CSF	25.71809387
Acari	Leaves	7	CSF	25.75865555
Acari	Leaves	8	CSF	26.9781971
Acari	Leaves	8	CSF	26.86641312
Acari	Leaves	8	CSF	27.2636795
Acari	Leaves	8	CSF	26.87917137
Acari	Leaves	9	CSF	28.33820152
Acari	Leaves	9	CSF	27.99417114
Acari	Leaves	9	CSF	28.18782234
Acari	Leaves	9	CSF	27.92665672
Jardim_do_Seridó	Leaves	10	CSF	26.80467987
Jardim_do_Seridó	Leaves	10	CSF	26.91058922
Jardim_do_Seridó	Leaves	10	CSF	26.64318848
Jardim_do_Seridó	Leaves	10	CSF	27.07712173
Jardim_do_Seridó	Leaves	11	CSF	26.12399292
Jardim_do_Seridó	Leaves	11	CSF	26.22421837
Jardim_do_Seridó	Leaves	11	CSF	26.01646042
Jardim_do_Seridó	Leaves	12	CSF	26.63366318
Jardim_do_Seridó	Leaves	12	CSF	26.5224514
Jardim_do_Seridó	Leaves	12	CSF	26.66582108
Acari	Seeds	1	CYTB	27.0224514
Acari	Seeds	1	CYTB	26.84298325
Acari	Seeds	1	CYTB	26.79641342
Acari	Seeds	1	CYTB	26.82540894
Acari	Seeds	2	CYTB	26.34450722
Acari	Seeds	2	CYTB	26.56352234
Acari	Seeds	2	CYTB	26.10082626
Acari	Seeds	2	CYTB	26.31497192
Acari	Seeds	3	CYTB	26.23868179
Acari	Seeds	3	CYTB	26.20038795
Jardim_do_Seridó	Seeds	4	CYTB	26.47107697
Jardim_do_Seridó	Seeds	4	CYTB	26.40916061
Jardim_do_Seridó	Seeds	4	CYTB	26.13066673
Jardim_do_Seridó	Seeds	5	CYTB	26.45140839
Jardim_do_Seridó	Seeds	5	CYTB	26.36808014
Jardim_do_Seridó	Seeds	5	CYTB	26.35678482
Jardim_do_Seridó	Seeds	6	CYTB	26.52960777
Jardim_do_Seridó	Seeds	6	CYTB	26.3220787
Jardim_do_Seridó	Seeds	6	CYTB	26.16048813
Jardim_do_Seridó	Seeds	6	CYTB	26.27199173
Acari	Leaves	7	CYTB	23.64920616
Acari	Leaves	7	CYTB	23.44865036
Acari	Leaves	7	CYTB	23.17895699
Acari	Leaves	7	CYTB	23.22154617
Acari	Leaves	8	CYTB	24.32783318
Acari	Leaves	8	CYTB	24.14298058
Acari	Leaves	8	CYTB	23.96000099
Acari	Leaves	8	CYTB	24.11608505
Acari	Leaves	9	CYTB	25.2209053
Acari	Leaves	9	CYTB	25.44002151
Acari	Leaves	9	CYTB	25.17902565
Jardim_do_Seridó	Leaves	10	CYTB	24.01086235
Jardim_do_Seridó	Leaves	10	CYTB	24.14132118
Jardim_do_Seridó	Leaves	10	CYTB	24.1273365
Jardim_do_Seridó	Leaves	10	CYTB	24.09176636
Jardim_do_Seridó	Leaves	11	CYTB	23.42607689
Jardim_do_Seridó	Leaves	11	CYTB	23.204813
Jardim_do_Seridó	Leaves	12	CYTB	23.99813461
Jardim_do_Seridó	Leaves	12	CYTB	23.8187542
Jardim_do_Seridó	Leaves	12	CYTB	23.85513306
Acari	Seeds	1	NLE	25.9008503
Acari	Seeds	1	NLE	25.71103859
Acari	Seeds	1	NLE	25.57529259
Acari	Seeds	1	NLE	25.59499741
Acari	Seeds	2	NLE	26.7590847
Acari	Seeds	2	NLE	26.68069839
Acari	Seeds	2	NLE	26.4583931
Acari	Seeds	2	NLE	26.35653114
Acari	Seeds	3	NLE	25.12937927
