 NADH 26S ARD2 ARP4 CSTF64 CYB5 NLE OAT PBL27 RAB7 UPF
seeds1 25.20854568 25.28425026 20.80898603 27.53267336 27.39182329 26.87181425 25.69554472 23.91188669 24.39168501 26.18268585 26.28076553
seeds2 24.53055859 25.58603525 21.25861692 28.77689425 27.47743861 26.33095694 26.56367683 24.73939276 24.55182505 26.42901548 26.7370669
seeds3 24.5598259 24.97998524 20.09700537 27.96076965 26.46499538 26.21953487 24.9586463 23.52591515 24.13077497 25.28205872 25.99720716
seeds4 24.4166913 24.56779528 20.64577389 27.74660047 26.86352475 26.3369681 25.25776386 23.83384228 23.91011333 25.08565187 25.80261612
seeds5 24.76912355 25.6806674 21.1352644 28.03286076 27.1798501 26.39209112 25.41981649 24.04289055 24.36735773 25.654555 24.80751133
seeds6 25.01319027 25.12340498 21.08745146 27.64401007 27.19165564 26.32104158 25.65056276 23.48531103 23.75044918 26.56202698 26.05663013
leaves7 21.63690472 23.50646877 21.01499033 25.64432812 25.88244724 23.37458992 24.33485794 22.43336773 23.37504482 24.30975866 25.32997608
leaves8 27.59297848 25.59963894 22.67873955 27.8820502 26.99686527 24.13672495 25.7826705 24.64909697 24.79768276 26.05610132 26.88262494
leaves9 23.72509098 26.57394075 23.08176231 28.3693552 28.11171293 25.27998416 26.46029027 25.2880578 26.04216894 26.49844313 26.20255756
leaves10 28.24218893 25.11936474 22.75368118 27.57754469 26.85889482 24.0928216 25.69789171 24.1177578 24.98686361 25.60281563 26.55964565
leaves11 21.92890215 24.46418826 21.90636698 26.04788907 26.12155724 23.31544495 25.11005147 23.3587176 23.60315259 24.80252647 25.79508591
leaves12 24.58375422 24.88698832 22.45635986 26.19843674 26.60731188 23.89067396 25.13919894 23.5993913 24.78371874 25.41338158 26.1092275
