Sample p1 p2 p3 p4 p5 p6 p7 p8 p9 p10 p11 p12
gene_nadh 25.20854568 24.53055859 24.5598259 24.4166913 24.76912355 25.01319027 21.63690472 27.59297848 23.72509098 28.24218893 21.92890215 24.58375422
gene_26s 25.28425026 25.58603525 24.97998524 24.56779528 25.6806674 25.12340498 23.50646877 25.59963894 26.57394075 25.11936474 24.46418826 24.88698832
gene_12dih 20.80898603 21.25861692 20.09700537 20.64577389 21.1352644 21.08745146 21.01499033 22.67873955 23.08176231 22.75368118 21.90636698 22.45635986
gene_actin 27.53267336 28.77689425 27.96076965 27.74660047 28.03286076 27.64401007 25.64432812 27.8820502 28.3693552 27.57754469 26.04788907 26.19843674
gene_csf 27.39182329 27.47743861 26.46499538 26.86352475 27.1798501 27.19165564 25.88244724 26.99686527 28.11171293 26.85889482 26.12155724 26.60731188
gene_cytb 26.87181425 26.33095694 26.21953487 26.3369681 26.39209112 26.32104158 23.37458992 24.13672495 25.27998416 24.0928216 23.31544495 23.89067396
gene_nle 25.69554472 26.56367683 24.9586463 25.25776386 25.41981649 25.65056276 24.33485794 25.7826705 26.46029027 25.69789171 25.11005147 25.13919894
gene_oamt 23.91188669 24.73939276 23.52591515 23.83384228 24.04289055 23.48531103 22.43336773 24.64909697 25.2880578 24.1177578 23.3587176 23.5993913
gene_pbl 24.39168501 24.55182505 24.13077497 23.91011333 24.36735773 23.75044918 23.37504482 24.79768276 26.04216894 24.98686361 23.60315259 24.78371874
gene_rab 26.18268585 26.42901548 25.28205872 25.08565187 25.654555 26.56202698 24.30975866 26.05610132 26.49844313 25.60281563 24.80252647 25.41338158
gene_upf 26.28076553 26.7370669 25.99720716 25.80261612 24.80751133 26.05663013 25.32997608 26.88262494 26.20255756 26.55964565 25.79508591 26.1092275
Group one one one one one one two two two two two two
