Sample Detector Cq
seeds1 gene_nadh 25.42945671
seeds1 gene_26s 25.33653641
seeds1 gene_12dih 20.88780975
seeds1 gene_actin 27.36132431
seeds1 gene_csf 27.70854378
seeds1 gene_cytb 27.0224514
seeds1 gene_nle 25.9008503
seeds1 gene_oamt 23.99097252
seeds1 gene_pbl 24.52709579
seeds1 gene_rab 26.28868675
seeds1 gene_upf 26.19935608
seeds1 gene_nadh 25.09786034
seeds1 gene_26s 25.31442642
seeds1 gene_12dih 20.7674675
seeds1 gene_actin 27.61082458
seeds1 gene_csf 27.33776093
seeds1 gene_cytb 26.84298325
seeds1 gene_nle 25.71103859
seeds1 gene_oamt 23.93531609
seeds1 gene_pbl 24.53092003
seeds1 gene_rab 26.46531868
seeds1 gene_upf 26.36217499
seeds1 gene_nadh 25.2775116
seeds1 gene_26s 25.20178795
seeds1 gene_12dih 20.77168083
seeds1 gene_actin 27.70556259
seeds1 gene_csf 27.2382164
seeds1 gene_cytb 26.79641342
seeds1 gene_nle 25.57529259
seeds1 gene_oamt 23.88680267
seeds1 gene_pbl 24.25439262
seeds1 gene_rab 25.80624199
seeds1 gene_upf NA
seeds1 gene_nadh 25.0293541
seeds1 gene_26s NA
seeds1 gene_12dih NA
seeds1 gene_actin 27.45298195
seeds1 gene_csf 27.28277206
seeds1 gene_cytb 26.82540894
seeds1 gene_nle 25.59499741
seeds1 gene_oamt 23.83445549
seeds1 gene_pbl 24.25433159
seeds1 gene_rab 26.17049599
seeds1 gene_upf NA
seeds2 gene_nadh 24.56661415
seeds2 gene_26s 25.58309364
seeds2 gene_12dih 21.27904701
seeds2 gene_actin 28.73333549
seeds2 gene_csf 27.65015984
seeds2 gene_cytb 26.34450722
seeds2 gene_nle 26.7590847
seeds2 gene_oamt 24.76216888
seeds2 gene_pbl 24.65287209
seeds2 gene_rab 26.61917305
seeds2 gene_upf 26.83263397
seeds2 gene_nadh 24.56900024
seeds2 gene_26s 25.63848877
seeds2 gene_12dih 21.28030014
seeds2 gene_actin 28.91247368
seeds2 gene_csf 27.46883011
seeds2 gene_cytb 26.56352234
seeds2 gene_nle 26.68069839
